LABEL,TN,FN,FP,TP,POD,F,FAR,CSI,PSS,HSS,ORSS,CSS
base,0,0,67,2161,0.0,0.0,nan,0.0,0.0,0.0,nan,nan
0.11200000000000002,29,166,38,1995,0.43283582089552236,0.07681628875520592,0.8512820512820513,0.12446351931330472,0.35601953214031645,0.18488681972575619,0.8033757773171454,0.13002635993290199
0.343,0,0,67,2161,0.0,0.0,nan,0.0,0.0,0.0,nan,nan
