LABEL,TN,FN,FP,TP,POD,F,FAR,CSI,PSS,HSS,ORSS,CSS
base,25,26,42,2135,0.373134328358209,0.012031466913465988,0.5098039215686274,0.26881720430107525,0.36110286144474296,0.4083492794938884,0.9599023261791544,0.47090347392976484
0.3220000000000002,36,50,31,2111,0.5373134328358209,0.02313743637204998,0.5813953488372093,0.3076923076923077,0.5141759964637709,0.45206461015302407,0.9600237278518556,0.4041321955138645
0.343,33,47,34,2114,0.4925373134328358,0.02174919018972698,0.5875,0.2894736842105263,0.47078812324310887,0.4303337163348022,0.9552130044843049,0.396671322160149
