LABEL,TN,FN,FP,TP,POD,F,FAR,CSI,PSS,HSS,ORSS,CSS
base,26,29,41,2132,0.3880597014925373,0.013419713095788986,0.5272727272727272,0.2708333333333333,0.37463998839674834,0.41023876330139236,0.9580014482259233,0.45385934819897084
0.5610000000000004,25,22,42,2139,0.373134328358209,0.01018047200370199,0.46808510638297873,0.2808988764044944,0.36295385635450694,0.4243219456264585,0.9660287872938841,0.5126576721589745
0.343,28,44,39,2117,0.417910447761194,0.02036094400740398,0.6111111111111112,0.25225225225225223,0.39754950375379006,0.3836770606977643,0.9437303252885625,0.37079983508554937
