LABEL,TN,FN,FP,TP,POD,F,FAR,CSI,PSS,HSS,ORSS,CSS
base,0,0,67,2161,0.0,0.0,nan,0.0,0.0,0.0,nan,nan
0.12700000000000003,23,109,44,2052,0.34328358208955223,0.05043961129106895,0.8257575757575758,0.13068181818181818,0.2928439707984833,0.1992088027738886,0.8155100784736113,0.1532500578302105
