LABEL,TN,FN,FP,TP,POD,F,FAR,CSI,PSS,HSS,ORSS,CSS
base,0,0,67,2161,0.0,0.0,nan,0.0,0.0,0.0,nan,nan
0.12800000000000003,31,93,36,2068,0.4626865671641791,0.043035631652012955,0.75,0.19375,0.41965093551216615,0.297164320718359,0.9007352941176471,0.23288973384030418
